K_BREV_T;K_FAGOMRADE;K_DOK_T;K_DOK_KATEGORI;BREVGRUPPE;REDIGERBART;DEKODE;DATO_FOM;DATO_TOM;ER_GYLDIG;DATO_OPPRETTET;OPPRETTET_AV;DATO_ENDRET;ENDRET_AV;K_BREV_REGEL_T;K_BREV_KATEGORI_T;K_BREV_UTLAND_T;K_BREV_KONTEKST_T;SYNLIG_FOR_VEILEDER;K_BREV_KRAV_T;VIS_I_PSELV;PRIORITET;DOKUMENT_TYPE_ID;DOKSYS;DOKUMENT_TYPE_ID_1;DOKUMENTMAL;DOKUMENTMAL_FELLESELEMENT;DOKUMENTMAL_REFERANSE;DATO_OPPRETTET_1;OPPRETTET_AV_1;DATO_ENDRET_1;ENDRET_AV_1;VERSJON
PE_IY_03_160;PEN;U;B;brevgr001;1;Anke - orientering om oversendelse til Trygderetten;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;OVRIG;ALLTID;SAK;;ANKE;1;;;;;;;;;;;;
PE_IY_03_161;PEN;U;B;brevgr001;1;Klage - tilsvar til klagende part;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;OVRIG;ALLTID;SAK;;KLAGE;1;;;;;;;;;;;;
PE_IY_03_162;PEN;U;B;brevgr001;1;Klage - orientering om saksbehandlingstid ved NAV Klageinstans;1899-12-31;;1;2008-01-24 09.00.00,000000000;A. Axelsson;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INFORMASJON;ALLTID;SAK;;KLAGE;1;;;;;;;;;;;;
PE_IY_03_163;PEN;U;B;brevgr001;1;Orientering om saksbehandlingstid  (bosatt avtaleland);1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INFORMASJON;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_03_164;PEN;U;B;brevgr001;1;Orientering om saksbehandlingstid (bosatt i ikke-avtaleland);1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INFORMASJON;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_03_165;PEN;U;B;brevgr001;1;Innhente opplysninger i E�S-sak (bruker bosatt i Norge);1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INNHENTE_OPPL;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_03_166;PEN;U;B;brevgr001;1;Foresp�rsel om fartstidsoppgave;1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INNHENTE_OPPL;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_03_167;PEN;U;B;brevgr001;1;Foresp�rsel om dokumentasjon av botid i Norge;1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2014-06-06 13.00.00,000000000;Lawrence Valtola;OVRIGE;INNHENTE_OPPL;;ALLTID;;ALLE;1;;;;;;;;;;;;
PE_IY_03_168;PEN;U;B;brevgr001;1;Oversettelse av dokumenter;1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;OVRIG;ALLTID;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_03_169;PEN;U;B;brevgr001;1;Bekreftelse p� at bruker mottar uf�retrygd (norsk);1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2016-07-26 16.30.00,000000000;Tor Egil Jacobsen;OVRIGE;OVRIG;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_03_170;PEN;U;B;brevgr001;1;Bekreftelse p� at bruker mottar uf�retrygd (engelsk);1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2016-07-26 16.30.00,000000000;Tor Egil Jacobsen;OVRIGE;OVRIG;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_03_171;PEN;U;B;brevgr001;1;Bekreftelse p� at bruker mottar uf�retrygd (tysk);1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2016-07-26 16.30.00,000000000;Tor Egil Jacobsen;OVRIGE;OVRIG;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_03_172;PEN;U;B;brevgr001;1;Bekreftelse p� at bruker mottar uf�retrygd (fransk);1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2016-07-26 16.30.00,000000000;Tor Egil Jacobsen;OVRIGE;OVRIG;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_03_173;PEN;U;B;brevgr001;1;Bekreftelse p� at bruker mottar uf�retrygd (spansk);1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2016-07-26 16.30.00,000000000;Tor Egil Jacobsen;OVRIGE;OVRIG;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_03_174;PEN;U;B;brevgr001;1;Bekreftelse p� at bruker mottar pensjon (engelsk);1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;OVRIG;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_03_175;PEN;U;B;brevgr001;1;Informasjon til deg som er bosatt i utlandet og snart fyller 67 �r;1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INFORMASJON;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_03_176;PEN;U;B;brevgr001;1;Vedtak - stans av pensjon p� grunn av manglende leveattest;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;VEDTAK;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_03_177;PEN;U;B;brevgr001;1;Varsel - melding om stans eller gjenopptatt utbetaling p� grunn av leveattest;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;VARSEL;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_03_178;PEN;U;B;brevgr001;1;P�minnelse generell;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INFORMASJON;ALLTID;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_03_179;PEN;U;B;brevgr001;1;Varsel - revurdering av pensjon;1899-12-31;;1;2008-12-18 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;VARSEL;ALLTID;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_03_180;PEN;U;B;brevgr001;1;Orientering om saksbehandlingstid  i E�S-sak (bruker bosatt i Norge);1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;VARSEL;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_04_001;PEN;U;VB;brevgr004;0;Vedtak - innvilgelse av omsorgsopptjening ved pleie og omsorg for eldre syke og funksjonshemmede;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_IY_04_010;PEN;U;VB;brevgr004;1;Vedtak- avslag p� omsorgsopptjening;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_IY_04_050;PEN;U;VB;brevgr001;1;Vedtak - klagesak - NAV Klageinstans;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;VEDTAK;ALLTID;VEDTAK;;KLAGE;1;;;;;;;;;;;;
PE_IY_04_051;PEN;U;VB;brevgr001;1;Vedtak - omgj�ring i ankesak - NAV Klageinstans;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;VEDTAK;ALLTID;VEDTAK;;ANKE;1;;;;;;;;;;;;
PE_IY_04_060;PEN;U;VB;brevgr004;1;Vedtak om tilbakekreving av feilutbetalt bel�p;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;VEDTAK;ALLTID;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_IY_04_061;PEN;U;VB;brevgr004;1;Vedtak om at feilutbetalt bel�p ikke vil bli tilbakekrevet;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;VEDTAK;ALLTID;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_IY_04_062;PEN;U;VB;brevgr004;0;Vedtak om tilbakekreving;1899-12-31;;1;2011-04-15 16.00.00,000000000;Espen Nyg�rd;2011-04-15 16.00.00,000000000;Espen Nyg�rd;OVRIGE;;;;;;1;;;;;;;;;;;;
PE_IY_04_120;PEN;U;VB;brevgr004;0;Vedtak - overf�ring av omsorgsopptjening brev til mottaker;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;;;;;;1;;;;;;;;;;;;
PE_IY_04_121;PEN;U;VB;brevgr004;0;Vedtak - overf�ring av omsorgsopptjening brev til avgiver;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;;;;;;1;;;;;;;;;;;;
PE_IY_04_125;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse eksport av alderspensjon;1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_IY_04_126;PEN;U;VB;brevgr003;1;Vedtak - avslag p� eksport av alderspensjon;1899-12-31;;1;2008-06-03 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_IY_04_127;PEN;U;VB;brevgr002;1;Vedtak - delvis eksport av alderspensjon;1899-12-31;;1;2008-09-30 14.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_IY_05_006;PEN;U;B;brevgr001;1;Retur av dokumenter;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;OVRIG;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_05_007;PEN;U;B;brevgr001;1;Foresp�rsel p� grunn av uleselig dokument;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INNHENTE_OPPL;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_05_008;PEN;U;B;brevgr001;1;Innsendt blankett mangler underskrift;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INNHENTE_OPPL;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_05_021;PEN;U;B;brevgr001;1;Varsel om at NAV vurderer � kreve tilbake feilutbetaling (�rsak 3);1899-12-31;2008-01-31;0;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_IY_05_022;PEN;U;B;brevgr001;1;Varsel om at NAV vurderer � kreve tilbake feilutbetaling (�rsak 2);1899-12-31;2008-01-31;0;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_IY_05_023;PEN;U;B;brevgr001;1;Varsel om at NAV vurderer � kreve tilbake feilutbetaling (�rsak 4);1899-12-31;2008-01-31;0;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_IY_05_024;PEN;U;B;brevgr001;1;Varsel om at NAV vurderer � kreve tilbake feilutbetaling (�rsak 1);1899-12-31;2008-01-31;0;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_IY_05_025;PEN;U;B;brevgr001;1;Varsel om at NAV vurderer � kreve tilbake feilutbetaling (�rsak 5);1899-12-31;2008-01-31;0;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_IY_05_026;PEN;U;B;brevgr001;1;Varsel om at NAV vurderer � kreve tilbake feilutbetaling;1899-12-31;2008-01-31;0;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;;;;;;1;;;;;;;;;;;;
PE_IY_05_027;PEN;U;B;brevgr001;1;Varsel - tilbakekreving av feilutbetalt bel�p;1899-12-31;;1;2009-10-11 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;VARSEL;ALLTID;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_05_028;PEN;U;IB;brevgr004;0;Forh�ndsvarsel for tilbakekreving;1899-12-31;;1;2011-04-15 16.00.00,000000000;Espen Nyg�rd;2011-04-15 16.00.00,000000000;Espen Nyg�rd;OVRIGE;;;;;;1;;;;;;;;;;;;
PE_IY_05_041;PEN;U;B;brevgr001;1;Orientering om forlenget saksbehandlingstid;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2020-01-29 10.06.25,512400000;PL-900;OVRIGE;INFORMASJON;ALLTID;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_05_101;PEN;U;B;brevgr001;0;Brev med skjema Overf�ring av Omsorgsopptjening (NAV 03-16.10);1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;BREV_MED_SKJEMA;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_05_102;PEN;U;B;brevgr001;0;Brev med skjema S�knad om godskriving av pensjonsopptjening for pleie og omsorg for eldre syke og funksjonshemmede (NAV 03-16.05);1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;BREV_MED_SKJEMA;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_05_104;PEN;U;IB;brevgr001;0;Brev med skjema S�knad om godskriving av pensjonsopptjening for omsorg av barn under 7 �r f�r 1992 mor (NAV 03-16.01);1899-12-31;;1;2010-02-05 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;BREV_MED_SKJEMA;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_05_105;PEN;U;IB;brevgr001;0;Brev med skjema S�knad om godskriving av pensjonsopptjening for omsorg av barn under 7 �r f�r 1992 far (NAV 03-16.02);1899-12-31;;1;2010-02-05 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;BREV_MED_SKJEMA;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_05_111;PEN;U;B;brevgr001;0;Brev med skjema S�knad om ytelser til tidligere familiepleier (NAV 16-01.05);1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;BREV_MED_SKJEMA;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_05_200;PEN;U;B;brevgr004;0;Vedtak - innvilgelse av omsorgsopptjening ved forh�yet hjelpest�nad sats 3 eller 4;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_IY_05_201;PEN;U;B;brevgr004;0;Vedtak - innvilgelse av omsorgsopptjening ved omsorg for sm� barn;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_IY_05_241;PEN;U;B;brevgr007;0;Varsel om lang saksbehandlingstid;1899-12-31;2011-05-28;1;2009-05-13 16.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INFORMASJON;ALLTID;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_05_242;PEN;U;B;brevgr007;1;Varsel til AFP-ordning;1899-12-31;;0;2009-05-13 16.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;;;;;;1;;;;;;;;;;;;
PE_IY_05_300;PEN;U;B;brevgr001;1;Brev fra NAV;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2014-08-07 15.00.00,000000000;Jonathan Share;OVRIGE;NOTAT;ALLTID;ALLTID;1;ALLE;1;1;;;;;;;;;;;
PE_IY_05_301;PEN;U;IB;brevgr001;1;Melding til samhandlere om stans eller gjenopptatt betaling;1899-12-31;;1;2011-01-07 16.00.00,000000000;Espen Nyg�rd;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;OVRIG;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_IY_05_302;PEN;U;B;brevgr009;0;Melding til Samordningsregisteret - purring;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;;;;;;1;;;;;;;;;;;;
PE_IY_05_303;PEN;U;B;brevgr009;0;Melding til Samordningsregisteret;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;;;;;;1;;;;;;;;;;;;
PE_IY_05_304;PEN;U;B;brevgr009;0;Melding til Samordningsregisteret;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;;;;;;1;;;;;;;;;;;;
PE_IY_05_305;PEN;U;B;brevgr009;0;Melding til Samordningsregisteret;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;;;;;;1;;;;;;;;;;;;
PE_IY_05_306;PEN;U;B;brevgr001;1;Brev fra NAV Ny pensjon;1899-12-31;2011-05-28;1;2010-02-05 16.00.00,000000000;Mathilde Eidem;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;NOTAT;ALLTID;ALLTID;1;ALLE;1;;;;;;;;;;;;
PE_IY_05_401;PEN;U;B;brevgr001;0;Brev med skjema Endringsblankett for inntekt (NAV 21-03.15);1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;BREV_MED_SKJEMA;NASJONALT;SAK;1;;1;;;;;;;;;;;;
PE_IY_05_410;PEN;U;B;brevgr001;0;Brev med skjema Leveattest (NAV 21-03.05);1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;BREV_MED_SKJEMA;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_05_411;PEN;U;B;brevgr001;0;P�minnelse om leveattest - med skjema Leveattest (NAV 21-03.05);1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;INNHENTE_OPPL;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_05_502;PEN;U;IB;brevgr004;0;Vedtak - innvilgelse av omsorgsopptjening ved omsorg for sm� barn f�r 1992;1899-12-31;;1;2009-05-13 16.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;;;;;;0;;;;;;;;;;;;
PE_IY_06_103;PEN;U;IB;brevgr001;1;Varsel - uttaksgraden kan bli satt ned eller retten til uttak av alderspensjon kan falle bort;1899-12-31;;1;2010-12-16 12.00.00,000000000;Cato Haukeland;2011-04-15 16.00.00,000000000;Espen Nyg�rd;;VARSEL;ALLTID;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_06_510;PEN;U;B;brevgr001;0;Brev med skjema Alternativ leveattest (NAV 21-03.06);1899-12-31;;1;2012-09-17 09.12.00,000000000;Audun S�rheim;2012-09-17 09.12.00,000000000;Audun S�rheim;OVRIGE;BREV_MED_SKJEMA;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_IY_06_511;PEN;U;B;brevgr001;0;P�minnelse � brev med skjema Alternativ leveattest (NAV 21-03.06);1899-12-31;;1;2012-09-17 09.12.00,000000000;Audun S�rheim;2012-09-17 09.12.00,000000000;Audun S�rheim;OVRIGE;INNHENTE_OPPL;UTLAND;SAK;;ALLE;1;;;;;;;;;;;;
PE_OK_06_100;PEN;N;B;brevgr002;1;Posteringsgrunnlag (virkningstidspunkt f�r 01.01.09);1899-12-31;;1;2008-09-04 14.00.00,000000000;V. Gulliksen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;OVRIG;ALLTID;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_OK_06_101;PEN;N;B;brevgr001;1;Posteringsgrunnlag;1899-12-31;;1;2008-09-04 14.00.00,000000000;V. Gulliksen;2011-09-13 16.00.00,000000000;Espen Nyg�rd;OVRIGE;OVRIG;ALLTID;ALLTID;;ALLE;1;;;;;;;;;;;;
PE_OK_06_102;PEN;N;B;brevgr004;1;Posteringsgrunnlag ved tilbakekrevingssaker;1899-12-31;;1;2009-03-30 16.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;OVRIGE;OVRIG;ALLTID;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_02_002;PEN;U;B;brevgr001;1;Ikke endring i tittel, men skal fjernes fra brevmenyen ved � sette ER_GYLDIG = USANN;1899-12-31;;0;2009-04-22 16.00.00,000000000;Johan Dahl;2016-07-26 16.30.00,000000000;Tor Egil Jacobsen;;BREV_MED_SKJEMA;NASJONALT;SAK;;;1;;;;;;;;;;;;
PE_UP_04_001;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av uf�repensjon;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_010;PEN;U;VB;brevgr003;1;Vedtak - opph�r av uf�repensjon;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_020;PEN;U;VB;brevgr002;1;Vedtak - endring av uf�repensjon;1899-12-31;;1;2007-11-09 16.00.00,000000000;H. Abrahamsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_021;PEN;U;VB;brevgr001;1;Vedtak - forlengelse av perioden med hvilende rett til uf�repensjon;1899-12-31;;1;2009-04-22 16.00.00,000000000;Johan Dahl;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;NASJONALT;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_022;PEN;U;VB;brevgr002;1;Vedtak - delvis eksport av uf�repensjon;1899-12-31;;1;2009-11-17 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_023;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av uf�repensjon (bosatt Norge - f�r utland);1899-12-31;;1;2009-11-17 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_024;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av uf�repensjon med endring (bosatt Norge - etter utland);1899-12-31;;1;2009-11-17 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_025;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av uf�repensjon (bosatt Norge - etter utland);1899-12-31;;1;2009-11-17 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_026;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av uf�repensjon (bosatt utland - avtaleland);1899-12-31;;1;2009-11-17 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_027;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av uf�repensjon (bosatt utland - ikke avtaleland);1899-12-31;;1;2009-11-17 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_028;PEN;U;VB;brevgr002;1;Vedtak - endring av uf�repensjon (bosatt Norge);1899-12-31;;1;2009-11-17 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_029;PEN;U;VB;brevgr002;1;Vedtak - endring av uf�repensjon (bosatt utland);1899-12-31;;1;2009-11-17 16.00.00,000000000;Cato Haukeland;2011-04-05 16.00.00,000000000;Espen Nyg�rd;GG;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
PE_UP_04_030;PEN;U;VB;brevgr002;1;Vedtak - innvilgelse av uf�repensjon (bosatt Norge - mellombehandling);1899-12-31;;1;2010-06-18 16.00.00,000000000;Hilde Martinsen;2011-04-05 16.00.00,000000000;Espen Nyg�rd;;VEDTAK;UTLAND;VEDTAK;;ALLE;1;;;;;;;;;;;;
